Data;(pył zawieszony PM2.5 [jednostka ug/m3]);(dwutlenek azotu [jednostka ug/m3]);(tlenek węgla [jednostka ug/m3]);(benzen [jednostka ug/m3]);(tlenki azotu [jednostka ug/m3]);(tlenek azotu [jednostka ug/m3]);(pył zawieszony PM10 [jednostka ug/m3])
2021-01-01 01:00;45.9;8.4;0.6;1.2;11.1;1.8;53.1
2021-01-01 02:00;36.6;7.3;0.6;1.2;9.5;1.4;42.7
2021-01-01 03:00;34.6;6.3;0.5;1.1;8.8;1.6;40.5
2021-01-01 04:00;31.4;5.4;0.5;0.9;8.1;1.8;36.9
2021-01-01 05:00;25.5;3.9;0.4;0.8;7.2;2.1;30.8
2021-01-01 06:00;23.9;8.1;0.4;0.7;14.1;3.9;28.6
2021-01-01 07:00;28.5;12.7;0.5;0.7;23.5;7.0;34.2
2021-01-01 08:00;25.8;13.2;0.5;1.3;26.5;8.7;31.0
2021-01-01 09:00;21.7;14.8;0.5;0.8;30.6;10.3;26.2
2021-01-01 10:00;13.4;8.6;0.4;0.6;19.2;6.9;17.1
2021-01-01 11:00;17.6;11.3;0.4;0.5;23.7;8.1;21.7
2021-01-01 12:00;18.6;15.1;0.4;0.6;33.5;12.0;22.8
2021-01-01 13:00;19.8;13.7;0.5;0.7;28.7;9.8;24.5
2021-01-01 14:00;20.3;10.7;0.5;0.7;21.8;7.2;25.1
2021-01-01 15:00;24.5;11.4;0.5;0.8;20.6;6.1;29.5
2021-01-01 16:00;22.0;15.3;0.5;1.0;25.2;6.5;26.6
2021-01-01 17:00;21.9;21.0;0.6;0.9;36.9;10.4;26.6
2021-01-01 18:00;27.2;16.2;0.6;1.1;22.0;3.8;32.5
2021-01-01 19:00;25.1;15.5;0.6; ;21.9;4.2;29.7
2021-01-01 20:00;23.8;11.7;0.6;1.0;16.1;2.8;28.3
2021-01-01 21:00;21.9;13.6;0.5;0.8;17.8;2.7;26.2
2021-01-01 22:00;19.6;10.8;0.4;0.6;16.1;3.5;23.8
2021-01-01 23:00;18.2;14.1;0.4;0.5;18.0;2.5;22.5
2021-01-02 00:00;15.3;2.5;0.4;0.4;3.3;0.5;19.1
2021-01-02 01:00;16.6;4.5;0.4;0.5;5.3;0.5;20.5
2021-01-02 02:00;16.7;4.3;0.4;0.5;5.4;0.7;20.6
2021-01-02 03:00;14.9;2.5;0.3;0.4;3.2;0.5;18.7
2021-01-02 04:00;14.9;9.0;0.4;0.4;10.3;0.8;18.9
2021-01-02 05:00;14.4;5.0;0.4;0.4;6.1;0.7;18.2
2021-01-02 06:00;13.8;3.1;0.4;0.4;3.9;0.5;17.6
2021-01-02 07:00;14.3;9.8;0.4;0.4;16.3;4.3;18.3
2021-01-02 08:00;14.6;14.3;0.4;0.6;26.0;7.7;18.5
2021-01-02 09:00;11.8;9.9;0.4;0.5;18.6;5.7;15.7
2021-01-02 10:00;11.1;13.9;0.4;0.5;24.2;6.8;14.8
2021-01-02 11:00;8.3;9.9;0.4;0.5;18.4;5.5;12.4
2021-01-02 12:00;8.9;20.6;0.5;0.5;47.2;17.4;17.4
2021-01-02 13:00;6.9;10.2;0.4;0.5;24.9;9.7;13.6
2021-01-02 14:00;8.9;13.0;0.4;0.5;24.0;7.2;15.1
2021-01-02 15:00;8.5;13.2;0.4;0.4;21.9;5.7;13.9
2021-01-02 16:00;12.5;20.3;0.4;0.5;26.8;4.3;18.1
2021-01-02 17:00;13.1;27.1;0.5;0.6;37.3;6.6;20.6
2021-01-02 18:00;15.5;27.7;0.5;0.7;33.4;3.8;21.4
2021-01-02 19:00;26.2;43.9;0.7; ;91.8;31.3;35.9
2021-01-02 20:00;45.7;66.0;1.2;1.7;165.3;65.0;60.0
2021-01-02 21:00;80.6;61.1;1.5;2.7;169.1;70.6;94.5
2021-01-02 22:00;91.9;58.8;1.7;3.8;216.0;102.8;109.5
2021-01-02 23:00;94.0;63.0;2.3;4.2;378.0;206.0;109.4
2021-01-03 00:00;93.5;62.1;2.5;4.4;417.5;232.4;110.4
2021-01-03 01:00;75.0;52.4;2.1;3.9;369.9;207.6;87.1
2021-01-03 02:00;71.8;43.3;1.9;3.3;308.9;173.6;82.2
2021-01-03 03:00;61.7;31.8;1.2;2.8;117.7;56.1;70.6
2021-01-03 04:00;55.5;23.2;1.0;2.0;53.2;19.6;63.1
2021-01-03 05:00;52.3;23.3;0.9;2.0;47.3;15.7;59.2
2021-01-03 06:00;45.2;23.3;0.8;1.8;71.7;31.6;51.5
2021-01-03 07:00;41.9;20.5;0.7;1.6;44.3;15.6;48.1
2021-01-03 08:00;39.9;17.7;0.7;1.6;45.1;17.9;46.2
2021-01-03 09:00;41.9;20.2;0.9;2.0;72.7;34.3;48.8
2021-01-03 10:00;48.6;17.8;0.8;2.4;75.9;38.0;56.3
2021-01-03 11:00;53.6;16.2;0.8;2.4;64.6;31.7;62.2
2021-01-03 12:00;54.3;20.3;0.9;2.5;84.3;41.8;63.5
2021-01-03 13:00;58.1;24.4;0.9;3.0;97.5;47.8;69.3
2021-01-03 14:00;58.6;24.8;0.9;2.7;103.7;51.5;67.1
2021-01-03 15:00;55.0;23.9;0.9;2.7;93.5;45.5;62.0
2021-01-03 16:00;61.3;28.4;1.0;2.6;122.6;61.6;69.7
2021-01-03 17:00;70.2;33.2;1.2;3.1;150.8;76.9;79.5
2021-01-03 18:00;79.9;37.6;1.4;3.5;189.1;99.1;90.9
2021-01-03 19:00;82.0;43.7;1.6; ;242.8;130.1;93.9
2021-01-03 20:00;39.6;30.3;0.8;2.8;65.9;23.3;46.0
2021-01-03 21:00;32.7;24.1;0.7;1.6;40.0;10.4;38.1
2021-01-03 22:00;28.0;24.2;0.7;1.4;46.1;14.3;33.5
2021-01-03 23:00;20.7;14.7;0.5;1.0;21.9;4.7;25.5
2021-01-04 00:00;58.1;26.4;1.0;1.7;72.3;30.0;65.4
2021-01-04 01:00;59.3;25.6;1.0;2.7;57.4;20.8;67.1
2021-01-04 02:00;56.1;16.3;0.9;2.3;28.9;8.2;63.3
2021-01-04 03:00;53.2;17.9;0.9;2.2;31.7;9.0;60.6
2021-01-04 04:00;47.6;21.8;1.0;1.9;74.8;34.6;54.7
2021-01-04 05:00;43.2;42.5;1.2;1.9;268.3;147.7;51.9
2021-01-04 06:00;37.1;45.0;1.1;1.9;321.0;180.4;44.2
2021-01-04 07:00;32.1;49.0;1.3;1.7;338.0;188.9;38.6
2021-01-04 08:00;42.3;58.6;1.7;2.4;500.8;289.1;49.6
2021-01-04 09:00;48.1;61.5;1.6;2.7;513.1;295.2;56.4
2021-01-04 10:00;51.4;51.8;1.3;3.0;312.8;170.6;59.9
2021-01-04 11:00;52.2;48.9;1.3;2.8;284.2;153.9;63.1
2021-01-04 12:00;53.8;46.8;1.3;2.8;279.9;152.5;62.0
2021-01-04 13:00;60.1;52.7;1.3;3.1;305.8;165.5;69.4
2021-01-04 14:00;61.7;45.8;1.2;3.3;250.2;133.6;70.7
2021-01-04 15:00;62.9;48.3;1.4;3.2;304.0;167.2;72.8
2021-01-04 16:00;61.8;50.0;1.5;3.4;270.8;144.3;70.9
2021-01-04 17:00;50.7;41.0;1.2;2.8;236.2;127.6;58.6
2021-01-04 18:00;48.1;36.8;1.1;2.6;204.9;109.9;55.8
2021-01-04 19:00;43.6;33.5;1.0; ;167.3;87.5;50.2
2021-01-04 20:00;38.3;27.9;0.7;1.6;111.7;54.8;44.3
2021-01-04 21:00;46.4;28.0;0.9;1.6;111.0;54.3;53.2
2021-01-04 22:00;57.7;28.6;1.1;2.3;125.5;63.4;68.5
2021-01-04 23:00;43.4;19.4;0.7;1.7;75.9;37.0;52.9
2021-01-05 00:00;45.1;19.2;0.7;1.6;58.7;25.8;53.5
2021-01-05 01:00;20.5;6.9;0.5;1.0;19.1;8.0;25.0
2021-01-05 02:00;12.3;2.7;0.4;0.7;7.6;3.3;16.0
2021-01-05 03:00;6.4;2.5;0.4;0.6;8.2;3.7;9.7
2021-01-05 04:00;2.7;3.2;0.3;0.5;8.5;3.5;5.9
2021-01-05 05:00;2.1;6.9;0.3;0.4;28.0;13.8;5.3
2021-01-05 06:00;2.7;15.9;0.4;0.5;74.9;38.6;5.8
2021-01-05 07:00;4.8;33.8;0.6;0.6;173.0;91.0;8.2
2021-01-05 08:00;9.3;46.0;0.8;0.7;243.2;128.9;13.2
2021-01-05 09:00;13.8;49.1;0.8;0.9;233.8;120.8;18.3
2021-01-05 10:00;16.1;50.1;0.7;0.9;228.6;116.7;20.9
2021-01-05 11:00;16.1;47.7;0.8;1.0;213.2;108.2;21.1
2021-01-05 12:00;18.0;48.8;0.8;1.1;215.6;109.0;23.0
2021-01-05 13:00;17.7;55.6;1.0;1.2;251.1;127.8;22.7
2021-01-05 14:00;21.0;55.8;1.1;1.2;288.0;151.8;26.4
2021-01-05 15:00;22.2;52.3;1.3;1.5;302.7;163.7;27.7
2021-01-05 16:00;21.3;55.4;1.4;1.6;312.0;167.8;26.4
2021-01-05 17:00;21.8;37.2;0.9;1.8;138.8;66.4;26.3
2021-01-05 18:00;18.6;26.1;0.7;1.3;78.4;34.2;22.8
2021-01-05 19:00;17.5;23.8;0.7; ;58.4;22.6;21.6
2021-01-05 20:00;20.3;23.0;0.7;1.5;58.4;23.1;24.5
2021-01-05 21:00;24.9;21.7;0.8;1.6;51.6;19.5;29.6
2021-01-05 22:00;24.3;21.1;0.8;1.6;60.3;25.6;29.0
2021-01-05 23:00;29.1;20.5;0.9;1.8;61.0;26.5;34.0
2021-01-06 00:00;24.6;21.3;0.8;2.0;63.5;27.6;29.1
2021-01-06 01:00;23.1;18.6;0.7;1.7;47.5;18.9;27.6
2021-01-06 02:00;21.6;17.3;0.7;1.6;41.6;15.9;26.0
2021-01-06 03:00;30.8;16.3;0.8;1.8;55.4;25.5;35.8
2021-01-06 04:00;31.8;17.1;0.8;1.7;62.7;29.8;36.9
2021-01-06 05:00;31.0;15.2;0.8;1.7;52.2;24.2;36.8
2021-01-06 06:00;29.3;16.1;0.7;1.6;63.1;30.8;34.6
2021-01-06 07:00;24.4;14.4;0.7;1.5;33.9;12.7;29.3
2021-01-06 08:00;16.6;5.3;0.4;0.7;8.2;1.9;20.7
2021-01-06 09:00;13.7;2.5;0.4;0.6;3.2;0.5;17.6
2021-01-06 10:00;10.8;7.6;0.4;0.4;17.0;6.2;14.5
2021-01-06 11:00;12.9;4.0;0.4;0.5;7.8;2.5;16.8
2021-01-06 12:00;10.4;6.1;0.4;0.3;15.2;6.0;14.9
2021-01-06 13:00;13.6;14.3;0.4;0.5;30.3;10.4;18.9
2021-01-06 14:00;16.1;25.2;0.5;0.5;62.4;24.3;23.2
2021-01-06 15:00;20.0;36.9;0.7;1.1;88.6;33.8;27.8
2021-01-06 16:00;23.9;35.2;0.6;0.9;87.2;34.0;31.2
2021-01-06 17:00;26.3;17.2;0.6;1.3;23.6;4.2;32.1
2021-01-06 18:00;20.4;14.4;0.5;1.0;30.4;10.5;25.3
2021-01-06 19:00;10.6;10.1;0.5; ;16.3;4.1;14.5
2021-01-06 20:00;9.2;15.8;0.4;0.6;32.0;10.6;13.0
2021-01-06 21:00;11.1;14.5;0.4;0.5;21.6;4.6;14.8
2021-01-06 22:00;12.9;12.2;0.5;0.5;15.4;2.1;16.6
2021-01-06 23:00;14.2;14.6;0.4;0.5;17.1;1.6;18.2
2021-01-07 00:00;14.3;24.3;0.5;0.7;30.8;4.2;18.6
2021-01-07 01:00;17.0;25.9;0.5;0.6;37.5;7.6;22.9
2021-01-07 02:00;25.5;30.1;0.6;0.6;48.9;12.3;31.0
2021-01-07 03:00;20.9;25.0;0.6;0.7;34.2;6.0;25.5
2021-01-07 04:00;20.2;21.9;0.5;0.6;36.1;9.3;25.2
2021-01-07 05:00;24.9;38.8;0.6;0.7;118.0;51.8;30.3
2021-01-07 06:00;24.7;49.4;0.7;0.8;194.5;94.9;31.5
2021-01-07 07:00;28.9;54.1;1.5;1.3;335.5;184.0;36.8
2021-01-07 08:00;35.6;60.4;1.4;1.6;345.7;186.5;42.3
2021-01-07 09:00;24.5;41.6;0.6;1.6;115.3;48.2;29.8
2021-01-07 10:00;24.9;33.9;0.6;1.0;93.5;38.9;29.7
2021-01-07 11:00;29.9;31.6;0.7;1.2;110.7;51.7;35.4
2021-01-07 12:00;34.8;32.4;0.8;1.5;123.7;59.6;41.3
2021-01-07 13:00;37.2;32.8;0.9;1.7;148.2;75.5;43.2
2021-01-07 14:00;31.7;28.7;0.8;1.7;149.6;79.0;37.2
2021-01-07 15:00;30.9;29.1;0.9;1.8;141.4;73.4;36.2
2021-01-07 16:00;27.1;35.5;0.8;1.6;154.4;77.7;32.4
2021-01-07 17:00;19.7;38.1;0.7;1.3;133.2;62.2;24.3
2021-01-07 18:00;18.1;31.9;0.5;0.8;87.2;36.1;22.5
2021-01-07 19:00;29.6;34.3;0.6; ;77.3;28.1;35.7
2021-01-07 20:00;32.4;34.8;0.6;1.2;61.5;17.5;38.4
2021-01-07 21:00;39.7;37.4;0.7;1.3;57.2;12.9;45.9
2021-01-07 22:00;41.1;28.9;0.7;1.5;42.3;8.8;48.1
2021-01-07 23:00;43.4;28.8;0.7;1.5;46.4;11.5;50.8
2021-01-08 00:00;40.2;22.2;0.7;1.5;32.9;7.0;46.8
2021-01-08 01:00;35.6;17.2;0.6;1.4;20.2;2.0;40.7
2021-01-08 02:00;36.1;11.1;0.6;1.2;12.0;0.6;41.2
2021-01-08 03:00;28.0;9.1;0.5;1.1;10.6;1.0;32.8
2021-01-08 04:00;27.6;7.4;0.5;0.9;9.7;1.5;32.4
2021-01-08 05:00;24.7;9.6;0.5;1.0;16.5;4.6;30.4
2021-01-08 06:00;23.1;16.3;0.5;0.8;32.1;10.3;29.7
2021-01-08 07:00;26.9;29.6;0.6;0.9;51.2;14.1;35.4
2021-01-08 08:00;25.5;39.9;0.7;1.1;70.0;19.7;33.7
